time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-30 00:00:00+00:00,1429,96,298,94
2025-05-01 00:00:00+00:00,172,22,161,58
2025-05-02 00:00:00+00:00,288,34,149,44
2025-05-03 00:00:00+00:00,13,9,24,20
2025-05-04 00:00:00+00:00,4,4,26,23
2025-05-05 00:00:00+00:00,1360,95,284,75
2025-05-06 00:00:00+00:00,1805,134,500,105
2025-05-07 00:00:00+00:00,1606,103,599,148
2025-05-08 00:00:00+00:00,1064,87,559,110
2025-05-09 00:00:00+00:00,1521,81,352,103
2025-05-10 00:00:00+00:00,11,6,51,26
2025-05-11 00:00:00+00:00,26,11,166,29
2025-05-12 00:00:00+00:00,1035,81,673,117
2025-05-13 00:00:00+00:00,1397,100,634,142
