time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-18 00:00:00+00:00,200,65,63,47
2026-07-19 00:00:00+00:00,153,46,49,41
2026-07-20 00:00:00+00:00,906,110,99,47
2026-07-21 00:00:00+00:00,629,111,117,44
2026-07-22 00:00:00+00:00,886,119,129,56
2026-07-23 00:00:00+00:00,993,150,140,68
2026-07-24 00:00:00+00:00,424,80,140,57
2026-07-25 00:00:00+00:00,309,73,46,41
2026-07-26 00:00:00+00:00,73,42,62,48
2026-07-27 00:00:00+00:00,675,90,284,181
2026-07-28 00:00:00+00:00,1757,197,169,59
2026-07-29 00:00:00+00:00,1268,154,170,61
2026-07-30 00:00:00+00:00,1243,155,192,73
2026-07-31 00:00:00+00:00,184,50,86,53
