time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-31 00:00:00+00:00,17,12,45,34
2026-01-01 00:00:00+00:00,108,25,40,22
2026-01-02 00:00:00+00:00,26,14,85,39
2026-01-03 00:00:00+00:00,29,13,51,33
2026-01-04 00:00:00+00:00,34,20,68,35
2026-01-05 00:00:00+00:00,854,94,183,76
2026-01-06 00:00:00+00:00,146,33,77,47
2026-01-07 00:00:00+00:00,471,57,171,53
2026-01-08 00:00:00+00:00,567,65,190,60
2026-01-09 00:00:00+00:00,666,84,115,52
2026-01-10 00:00:00+00:00,73,21,266,199
2026-01-11 00:00:00+00:00,30,18,90,70
2026-01-12 00:00:00+00:00,267,40,168,72
2026-01-13 00:00:00+00:00,559,70,242,82
