time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-06 00:00:00+00:00,45,13,219,69
2025-06-07 00:00:00+00:00,19,10,41,24
2025-06-08 00:00:00+00:00,27,9,52,20
2025-06-09 00:00:00+00:00,1122,70,445,91
2025-06-10 00:00:00+00:00,893,78,352,83
2025-06-11 00:00:00+00:00,1461,88,343,94
2025-06-12 00:00:00+00:00,1651,112,475,89
2025-06-13 00:00:00+00:00,321,41,178,56
2025-06-14 00:00:00+00:00,25,10,28,21
2025-06-15 00:00:00+00:00,27,10,38,24
2025-06-16 00:00:00+00:00,1091,86,658,83
2025-06-17 00:00:00+00:00,1094,100,556,96
2025-06-18 00:00:00+00:00,2344,146,650,109
2025-06-19 00:00:00+00:00,505,57,280,93
