time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-12 00:00:00+00:00,1041,101,295,109
2025-11-13 00:00:00+00:00,573,95,309,108
2025-11-14 00:00:00+00:00,281,58,241,83
2025-11-15 00:00:00+00:00,33,12,63,46
2025-11-16 00:00:00+00:00,6,6,67,45
2025-11-17 00:00:00+00:00,751,73,361,94
2025-11-18 00:00:00+00:00,650,82,398,101
2025-11-19 00:00:00+00:00,978,90,320,96
2025-11-20 00:00:00+00:00,1778,143,393,105
2025-11-21 00:00:00+00:00,127,32,233,78
2025-11-22 00:00:00+00:00,59,13,105,53
2025-11-23 00:00:00+00:00,13,11,70,38
2025-11-24 00:00:00+00:00,1702,128,364,100
2025-11-25 00:00:00+00:00,1001,83,264,81
