time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-10 00:00:00+00:00,1573,143,85,43
2026-06-11 00:00:00+00:00,898,133,158,68
2026-06-12 00:00:00+00:00,948,167,232,84
2026-06-13 00:00:00+00:00,185,74,115,83
2026-06-14 00:00:00+00:00,511,110,67,36
2026-06-15 00:00:00+00:00,698,145,80,46
2026-06-16 00:00:00+00:00,2305,303,137,43
2026-06-17 00:00:00+00:00,2083,252,190,78
2026-06-18 00:00:00+00:00,1292,182,195,70
2026-06-19 00:00:00+00:00,288,98,89,55
2026-06-20 00:00:00+00:00,281,99,31,19
2026-06-21 00:00:00+00:00,680,114,160,40
2026-06-22 00:00:00+00:00,775,133,180,52
2026-06-23 00:00:00+00:00,717,132,193,59
