time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-07 00:00:00+00:00,138,107,46,34
2026-03-08 00:00:00+00:00,49,31,42,25
2026-03-09 00:00:00+00:00,1190,124,367,73
2026-03-10 00:00:00+00:00,837,113,245,64
2026-03-11 00:00:00+00:00,274,56,200,70
2026-03-12 00:00:00+00:00,546,90,384,152
2026-03-13 00:00:00+00:00,1151,140,413,117
2026-03-14 00:00:00+00:00,73,41,50,34
2026-03-15 00:00:00+00:00,56,26,50,33
2026-03-16 00:00:00+00:00,1158,141,360,75
2026-03-17 00:00:00+00:00,602,82,234,71
2026-03-18 00:00:00+00:00,174,48,138,68
2026-03-19 00:00:00+00:00,817,92,398,73
2026-03-20 00:00:00+00:00,105,36,174,66
