time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-27 00:00:00+00:00,15,6,52,29
2025-07-28 00:00:00+00:00,1184,98,504,79
2025-07-29 00:00:00+00:00,907,95,388,108
2025-07-30 00:00:00+00:00,1345,87,429,99
2025-07-31 00:00:00+00:00,590,79,321,92
2025-08-01 00:00:00+00:00,209,60,189,64
2025-08-02 00:00:00+00:00,28,14,44,22
2025-08-03 00:00:00+00:00,39,5,104,25
2025-08-04 00:00:00+00:00,177,28,342,82
2025-08-05 00:00:00+00:00,1327,110,444,100
2025-08-06 00:00:00+00:00,242,35,233,79
2025-08-07 00:00:00+00:00,1185,107,477,136
2025-08-08 00:00:00+00:00,825,83,312,109
2025-08-09 00:00:00+00:00,14,6,62,23
